Name,Vec
L-Bankssts,0.37516861185229444
L-Caudalanteriorcingulate,0.5640428948720102
L-Caudalmiddlefrontal,0.1546378512700204
L-Cuneus,0.7091163990329769
L-Entorhinal,0.19659023586365548
L-Frontalpole,0.09742181009376157
L-Fusiform,0.22135801615971665
L-Inferiorparietal,0.6099875362978129
L-Inferiortemporal,0.12742784197719992
L-Insula,0.36953584134496964
L-Isthmuscingulate,0.49253155901570905
L-Lateraloccipital,0.1982337892111157
L-Lateralorbitofrontal,0.17328274069121666
L-Lingual,0.6031028060161061
L-Medialorbitofrontal,0.21598982220241256
L-Middletemporal,0.1497132749054802
L-Paracentral,0.42653860297971186
L-Parahippocampal,0.26674479424633746
L-Parsopercularis,0.22591087160778123
L-Parsorbitalis,0.17949466818162949
L-Parstriangularis,0.2389920604408277
L-Pericalcarine,0.5206594806859869
L-Postcentral,0.5790132644413252
L-Posteriorcingulate,0.3745582190656371
L-Precentral,0.33166506746573754
L-Precuneus,0.4815948234223774
L-Rostralanteriorcingulate,0.18467455492540774
L-Rostralmiddlefrontal,0.04865241719437649
L-Superiorfrontal,0.44022425888530714
L-Superiorparietal,0.6418771514899657
L-Superiortemporal,0.4000577761909716
L-Supramarginal,0.7387466554317438
L-Temporalpole,0.33030264831728534
L-Transversetemporal,0.5279790272006608
R-Bankssts,0.7258913767644115
R-Caudalanteriorcingulate,0.7499402563701585
R-Caudalmiddlefrontal,0.6791820840054252
R-Cuneus,0.7650464877827179
R-Entorhinal,0.48117603394336234
R-Frontalpole,0.0
R-Fusiform,0.9550607359352609
R-Inferiorparietal,0.4723037184995317
R-Inferiortemporal,0.3120999030433861
R-Insula,0.6673167570101782
R-Isthmuscingulate,0.37747514649767133
R-Lateraloccipital,0.3713021838861791
R-Lateralorbitofrontal,0.31119539357517084
R-Lingual,0.9205027805754585
R-Medialorbitofrontal,0.16653239980517945
R-Middletemporal,0.3819424397679246
R-Paracentral,0.9978965784333929
R-Parahippocampal,0.6848438430992577
R-Parsopercularis,0.8565566421028549
R-Parsorbitalis,0.41573060563535275
R-Parstriangularis,0.45376714725793893
R-Pericalcarine,0.5085547416639705
R-Postcentral,1.0
R-Posteriorcingulate,0.7969879197341005
R-Precentral,0.8319119820334215
R-Precuneus,0.8289091759506307
R-Rostralanteriorcingulate,0.29795830517917427
R-Rostralmiddlefrontal,0.07555387292790419
R-Superiorfrontal,0.5131304670539416
R-Superiorparietal,0.480351186980723
R-Superiortemporal,0.48137161769386577
R-Supramarginal,0.5189338992869363
R-Temporalpole,0.572821927328406
R-Transversetemporal,0.7301654049854326
