Name,Vec
L-Bankssts,0.14755773271772754
L-Caudalanteriorcingulate,0.0
L-Caudalmiddlefrontal,0.21232830580565584
L-Cuneus,0.03762800735505501
L-Entorhinal,0.20646577017869008
L-Frontalpole,0.7702073519863931
L-Fusiform,0.5103132827715947
L-Inferiorparietal,0.37961104128440265
L-Inferiortemporal,0.39695652262144043
L-Insula,0.5029904945824424
L-Isthmuscingulate,0.11378359895079683
L-Lateraloccipital,0.28979581607948685
L-Lateralorbitofrontal,0.2640768417158059
L-Lingual,0.3345634503508868
L-Medialorbitofrontal,0.12415911287254025
L-Middletemporal,0.3040288035180483
L-Paracentral,0.18821057797688037
L-Parahippocampal,0.3787065018423465
L-Parsopercularis,0.14029444797545912
L-Parsorbitalis,0.19563272845129182
L-Parstriangularis,0.49443674230608387
L-Pericalcarine,0.4148103226930479
L-Postcentral,0.2172388314045916
L-Posteriorcingulate,0.22407039409107293
L-Precentral,0.14941376812167081
L-Precuneus,0.2579934754997595
L-Rostralanteriorcingulate,0.4463319817535248
L-Rostralmiddlefrontal,0.019589627854909662
L-Superiorfrontal,0.013280414510499713
L-Superiorparietal,0.2527366209845009
L-Superiortemporal,0.3302540564366207
L-Supramarginal,0.26709515069481776
L-Temporalpole,0.43351888013185524
L-Transversetemporal,0.36827959187346276
R-Bankssts,0.5086899914516924
R-Caudalanteriorcingulate,0.003466224957462056
R-Caudalmiddlefrontal,0.45556251143847143
R-Cuneus,0.37750446198715903
R-Entorhinal,0.24580270263416318
R-Frontalpole,1.0
R-Fusiform,0.06325919362197815
R-Inferiorparietal,0.4440990568979483
R-Inferiortemporal,0.0280266981489509
R-Insula,0.6590295759429459
R-Isthmuscingulate,0.06840024929485192
R-Lateraloccipital,0.35605754218842817
R-Lateralorbitofrontal,0.4104892539001832
R-Lingual,0.3413512478734469
R-Medialorbitofrontal,0.15075902322999382
R-Middletemporal,0.22957820462966927
R-Paracentral,0.04568680083887
R-Parahippocampal,0.09264682452758818
R-Parsopercularis,0.21642312406692807
R-Parsorbitalis,0.14544676994157874
R-Parstriangularis,0.2365413904918756
R-Pericalcarine,0.4573169978900305
R-Postcentral,0.12382797889420262
R-Posteriorcingulate,0.03785711979487922
R-Precentral,0.09827681029329138
R-Precuneus,0.4205485132376632
R-Rostralanteriorcingulate,0.08513126593659832
R-Rostralmiddlefrontal,0.3780297368809004
R-Superiorfrontal,0.38052897606113123
R-Superiorparietal,0.5761153342593971
R-Superiortemporal,0.482686543703012
R-Supramarginal,0.19802246065469103
R-Temporalpole,0.179303004562222
R-Transversetemporal,0.10110932299240251
