Name,Vec
L-Bankssts,0
L-Caudalanteriorcingulate,0
L-Caudalmiddlefrontal,0
L-Cuneus,0
L-Entorhinal,0
L-Frontalpole,1
L-Fusiform,1
L-Inferiorparietal,0
L-Inferiortemporal,1
L-Insula,0
L-Isthmuscingulate,0
L-Lateraloccipital,0
L-Lateralorbitofrontal,0
L-Lingual,0
L-Medialorbitofrontal,0
L-Middletemporal,0
L-Paracentral,0
L-Parahippocampal,1
L-Parsopercularis,0
L-Parsorbitalis,0
L-Parstriangularis,0
L-Pericalcarine,0
L-Postcentral,0
L-Posteriorcingulate,0
L-Precentral,0
L-Precuneus,0
L-Rostralanteriorcingulate,0
L-Rostralmiddlefrontal,0
L-Superiorfrontal,0
L-Superiorparietal,0
L-Superiortemporal,0
L-Supramarginal,0
L-Temporalpole,1
L-Transversetemporal,0
R-Bankssts,1
R-Caudalanteriorcingulate,0
R-Caudalmiddlefrontal,0
R-Cuneus,0
R-Entorhinal,0
R-Frontalpole,1
R-Fusiform,0
R-Inferiorparietal,0
R-Inferiortemporal,0
R-Insula,1
R-Isthmuscingulate,0
R-Lateraloccipital,0
R-Lateralorbitofrontal,1
R-Lingual,0
R-Medialorbitofrontal,0
R-Middletemporal,0
R-Paracentral,0
R-Parahippocampal,0
R-Parsopercularis,0
R-Parsorbitalis,0
R-Parstriangularis,0
R-Pericalcarine,1
R-Postcentral,0
R-Posteriorcingulate,0
R-Precentral,0
R-Precuneus,1
R-Rostralanteriorcingulate,0
R-Rostralmiddlefrontal,0
R-Superiorfrontal,0
R-Superiorparietal,1
R-Superiortemporal,1
R-Supramarginal,0
R-Temporalpole,0
R-Transversetemporal,0
