Name,Vec
L-Bankssts,0.32535410865953956
L-Caudalanteriorcingulate,0.033821580102827896
L-Caudalmiddlefrontal,0.12427499408398485
L-Cuneus,0.5121941510499968
L-Entorhinal,0.16481468722363501
L-Frontalpole,0.1414109145756304
L-Fusiform,0.43104635596651913
L-Inferiorparietal,0.7166630479576097
L-Inferiortemporal,0.39220126043768244
L-Insula,0.30356540148539946
L-Isthmuscingulate,0.08705326226819622
L-Lateraloccipital,0.5554735170814108
L-Lateralorbitofrontal,0.12054727930422059
L-Lingual,0.45481893397787515
L-Medialorbitofrontal,0.23150528201899492
L-Middletemporal,0.09041115381358206
L-Paracentral,0.23900185466221385
L-Parahippocampal,0.18798120814978567
L-Parsopercularis,0.0713365158731978
L-Parsorbitalis,0.07620052483072591
L-Parstriangularis,0.06905603168615117
L-Pericalcarine,0.10761736082146976
L-Postcentral,0.6505859102050167
L-Posteriorcingulate,0.14533526872372043
L-Precentral,0.0469985040814965
L-Precuneus,0.009238540147950822
L-Rostralanteriorcingulate,1.0
L-Rostralmiddlefrontal,0.5562479834242434
L-Superiorfrontal,0.2996030779249274
L-Superiorparietal,0.2622862134246651
L-Superiortemporal,0.7873563721082882
L-Supramarginal,0.09904198578531105
L-Temporalpole,0.1324013505226987
L-Transversetemporal,0.07313858714277825
R-Bankssts,0.33295876536080127
R-Caudalanteriorcingulate,0.08190327120183868
R-Caudalmiddlefrontal,0.10040547796304118
R-Cuneus,0.4077172485571966
R-Entorhinal,0.11442440375991288
R-Frontalpole,0.378572566503431
R-Fusiform,0.3635525760643562
R-Inferiorparietal,0.48500251350198736
R-Inferiortemporal,0.6702689580861122
R-Insula,0.2959462421930582
R-Isthmuscingulate,0.7168620817511627
R-Lateraloccipital,0.3036488721081771
R-Lateralorbitofrontal,0.00910125178762455
R-Lingual,0.11226926441021744
R-Medialorbitofrontal,0.034724451351403
R-Middletemporal,0.166414871379694
R-Paracentral,0.3873374776478262
R-Parahippocampal,0.3208804128564151
R-Parsopercularis,0.42779789620250774
R-Parsorbitalis,0.2829426299645998
R-Parstriangularis,0.09561851591461572
R-Pericalcarine,0.5141430593809199
R-Postcentral,0.213187973740819
R-Posteriorcingulate,0.10727035161859967
R-Precentral,0.05747197662266132
R-Precuneus,0.2735811806650441
R-Rostralanteriorcingulate,0.3687118134148928
R-Rostralmiddlefrontal,0.2672630849783881
R-Superiorfrontal,0.026438492465399154
R-Superiorparietal,0.05375991417058224
R-Superiortemporal,0.19362112628398573
R-Supramarginal,0.04174160254270768
R-Temporalpole,0.20947071366883124
R-Transversetemporal,0.0
