Name,Vec
L-Bankssts,0.09454683790567694
L-Caudalanteriorcingulate,0.04876261675379404
L-Caudalmiddlefrontal,0.4149384819275708
L-Cuneus,0.5140257529389533
L-Entorhinal,0.01929700567963071
L-Frontalpole,0.0
L-Fusiform,0.5898471978648466
L-Inferiorparietal,0.46719565171596045
L-Inferiortemporal,0.4806833544736137
L-Insula,0.1519251345695885
L-Isthmuscingulate,0.017247163987509237
L-Lateraloccipital,0.6154300251625539
L-Lateralorbitofrontal,0.05811668833388326
L-Lingual,0.6797409556929181
L-Medialorbitofrontal,0.32387619734115514
L-Middletemporal,0.22926160839436302
L-Paracentral,0.11340458733740724
L-Parahippocampal,0.5180086779685755
L-Parsopercularis,0.08108287228970128
L-Parsorbitalis,0.11987263529300025
L-Parstriangularis,0.09690615838244565
L-Pericalcarine,0.9864442034321214
L-Postcentral,0.04408373513039891
L-Posteriorcingulate,0.09031626246646933
L-Precentral,0.7782289386621223
L-Precuneus,0.049151236047486384
L-Rostralanteriorcingulate,0.5684687410452325
L-Rostralmiddlefrontal,0.5118948584038764
L-Superiorfrontal,0.708913183253488
L-Superiorparietal,0.06705386716265856
L-Superiortemporal,0.027080831438598026
L-Supramarginal,0.07084226695542933
L-Temporalpole,1.0
L-Transversetemporal,0.028124197018838875
R-Bankssts,0.0880856000479738
R-Caudalanteriorcingulate,0.5658576085654365
R-Caudalmiddlefrontal,0.24572022961153972
R-Cuneus,0.367007244209803
R-Entorhinal,0.2989204537163825
R-Frontalpole,0.23472385854750297
R-Fusiform,0.21594867423879807
R-Inferiorparietal,0.3564924793120887
R-Inferiortemporal,0.3738732276682517
R-Insula,0.1089704181170764
R-Isthmuscingulate,0.035176785390264045
R-Lateraloccipital,0.18919421273885675
R-Lateralorbitofrontal,0.06896352232638553
R-Lingual,0.1708461483945668
R-Medialorbitofrontal,0.16027250501145815
R-Middletemporal,0.1608625416169689
R-Paracentral,0.037162052657166274
R-Parahippocampal,0.5647360907445024
R-Parsopercularis,0.1951585536514255
R-Parsorbitalis,0.4455563826436954
R-Parstriangularis,0.14521056950585423
R-Pericalcarine,0.5101660812288696
R-Postcentral,0.22721047834551228
R-Posteriorcingulate,0.15374484145129716
R-Precentral,0.012977253723174773
R-Precuneus,0.1640243354471486
R-Rostralanteriorcingulate,0.008085701432785815
R-Rostralmiddlefrontal,0.5840962766640084
R-Superiorfrontal,0.12194485671803887
R-Superiorparietal,0.26319099351147895
R-Superiortemporal,0.021475885363359645
R-Supramarginal,0.5128350085399472
R-Temporalpole,0.07348124136613332
R-Transversetemporal,0.04619737755201968
