Name,Vec
L-Bankssts,0.07431182637799136
L-Caudalanteriorcingulate,0.04512986509354964
L-Caudalmiddlefrontal,0.16279619300060055
L-Cuneus,0.6168597398247475
L-Entorhinal,0.15275412964442517
L-Frontalpole,0.20312120848940912
L-Fusiform,0.7002303417400261
L-Inferiorparietal,0.7719155751094106
L-Inferiortemporal,0.3900707251290287
L-Insula,0.5405791985727934
L-Isthmuscingulate,0.06934576337807682
L-Lateraloccipital,0.774454078822307
L-Lateralorbitofrontal,0.05419168203462108
L-Lingual,0.8752616923724438
L-Medialorbitofrontal,0.2191224319363913
L-Middletemporal,0.08394351644423623
L-Paracentral,0.008727837664058389
L-Parahippocampal,0.4422194152571775
L-Parsopercularis,0.06149114685513737
L-Parsorbitalis,0.1573272544057528
L-Parstriangularis,0.3804012898257822
L-Pericalcarine,0.4196231847535669
L-Postcentral,0.4649382493262908
L-Posteriorcingulate,0.21765626164939986
L-Precentral,0.04598934970120731
L-Precuneus,0.037791959318419374
L-Rostralanteriorcingulate,1.0
L-Rostralmiddlefrontal,0.697196003728567
L-Superiorfrontal,0.5751883705414955
L-Superiorparietal,0.379050799735318
L-Superiortemporal,0.5663898741685162
L-Supramarginal,0.007018995503642679
L-Temporalpole,0.499612248249428
L-Transversetemporal,0.2366840289433688
R-Bankssts,0.0
R-Caudalanteriorcingulate,0.4038899985628916
R-Caudalmiddlefrontal,0.2014597096631165
R-Cuneus,0.7260501319967122
R-Entorhinal,0.36758744847960034
R-Frontalpole,0.09773539148591197
R-Fusiform,0.3982862780846437
R-Inferiorparietal,0.6894239561095012
R-Inferiortemporal,0.538214328722533
R-Insula,0.32736669981431243
R-Isthmuscingulate,0.5323231795768408
R-Lateraloccipital,0.30769080975975166
R-Lateralorbitofrontal,0.2231309780453716
R-Lingual,0.2932902729821459
R-Medialorbitofrontal,0.016627338401534943
R-Middletemporal,0.03951988192964656
R-Paracentral,0.3405028975184328
R-Parahippocampal,0.4135955432368345
R-Parsopercularis,0.4025348597489491
R-Parsorbitalis,0.3284968026963258
R-Parstriangularis,0.13536807866697248
R-Pericalcarine,0.7399989243595841
R-Postcentral,0.23971411536174594
R-Posteriorcingulate,0.10545021141711805
R-Precentral,0.008582302450202415
R-Precuneus,0.04222504347120243
R-Rostralanteriorcingulate,0.3487299125320966
R-Rostralmiddlefrontal,0.20057813659720158
R-Superiorfrontal,0.11241785090473878
R-Superiorparietal,0.2264481128221126
R-Superiortemporal,0.3510717022398368
R-Supramarginal,0.038940639225361805
R-Temporalpole,0.12267164847657784
R-Transversetemporal,0.10897299039964606
