Name,Vec
L-Bankssts,0.3493536110614864
L-Caudalanteriorcingulate,0.6821589230584961
L-Caudalmiddlefrontal,0.11428739028447209
L-Cuneus,0.3480237932754263
L-Entorhinal,0.3317777706274723
L-Frontalpole,0.0
L-Fusiform,0.150470841409312
L-Inferiorparietal,0.32451396953170053
L-Inferiortemporal,0.24112367200539844
L-Insula,0.5359700631437447
L-Isthmuscingulate,0.590002650628248
L-Lateraloccipital,0.049613011674279
L-Lateralorbitofrontal,0.6002278457315966
L-Lingual,0.37638606928286705
L-Medialorbitofrontal,0.643169415689125
L-Middletemporal,0.18465828513983357
L-Paracentral,0.40761157158774053
L-Parahippocampal,0.46615058071309945
L-Parsopercularis,0.25555689222627553
L-Parsorbitalis,0.1427499330233132
L-Parstriangularis,0.10420502253493956
L-Pericalcarine,0.1949718284277849
L-Postcentral,0.5861858761415943
L-Posteriorcingulate,0.7506504696610964
L-Precentral,0.49010218106872927
L-Precuneus,0.497928206446574
L-Rostralanteriorcingulate,0.6262383589676297
L-Rostralmiddlefrontal,0.08860267561505543
L-Superiorfrontal,0.3209356297123249
L-Superiorparietal,0.38705450417830417
L-Superiortemporal,0.4172948333009189
L-Supramarginal,0.6705750236429232
L-Temporalpole,0.5316039566210876
L-Transversetemporal,0.6498599460060979
R-Bankssts,0.29604665924383433
R-Caudalanteriorcingulate,0.8094783705578261
R-Caudalmiddlefrontal,0.28628940483407583
R-Cuneus,0.2381177125931476
R-Entorhinal,0.35284370119823005
R-Frontalpole,0.03438531290221747
R-Fusiform,0.740611972347883
R-Inferiorparietal,0.136535051157794
R-Inferiortemporal,0.4596832962404438
R-Insula,0.6173867120668929
R-Isthmuscingulate,0.7935225321380698
R-Lateraloccipital,0.01091098980303109
R-Lateralorbitofrontal,0.4259374798049349
R-Lingual,1.0
R-Medialorbitofrontal,0.599589829048495
R-Middletemporal,0.40602787869589263
R-Paracentral,0.45500682298997086
R-Parahippocampal,0.6377530271686916
R-Parsopercularis,0.39350316920131134
R-Parsorbitalis,0.06981119013439263
R-Parstriangularis,0.013007547717959086
R-Pericalcarine,0.3040915716238219
R-Postcentral,0.5651040705560653
R-Posteriorcingulate,0.6056785186972478
R-Precentral,0.5176679898912806
R-Precuneus,0.49370972749054953
R-Rostralanteriorcingulate,0.5749264447388058
R-Rostralmiddlefrontal,0.08424877043315429
R-Superiorfrontal,0.3916767667827508
R-Superiorparietal,0.26156315034380545
R-Superiortemporal,0.3449283649629674
R-Supramarginal,0.5066171437091842
R-Temporalpole,0.5041974613739914
R-Transversetemporal,0.529714201020439
